,unitid,year,fips,level_of_study,tuition_type,tuition_fees_ft,tuition_ft,fees_ft,credit_hour_charge_pt,tuition_published,fees_published,tuition_fees_published,tuition_pub_pct_increase,fees_pub_pct_increase,ingested_at_utc
48,100830,2021,1,2,2,8344.0,7578.0,766.0,421.0,,,,,,2026-02-13T03:05:35
49,100830,2021,1,2,3,8344.0,7578.0,766.0,421.0,,,,,,2026-02-13T03:05:35
50,100830,2021,1,2,4,17812.0,17046.0,766.0,947.0,,,,,,2026-02-13T03:05:35
51,100858,2021,1,1,2,11826.0,10080.0,1746.0,420.0,10080.0,1746.0,11826.0,,,2026-02-13T03:05:35
52,100858,2021,1,1,3,11826.0,10080.0,1746.0,420.0,10080.0,1746.0,11826.0,,,2026-02-13T03:05:35
53,100858,2021,1,1,4,31986.0,30240.0,1746.0,1260.0,30240.0,1746.0,31986.0,,,2026-02-13T03:05:35
54,100858,2021,1,2,2,11826.0,10080.0,1746.0,560.0,,,,,,2026-02-13T03:05:35
55,100858,2021,1,2,3,11826.0,10080.0,1746.0,560.0,,,,,,2026-02-13T03:05:35
56,100858,2021,1,2,4,31986.0,30240.0,1746.0,1680.0,,,,,,2026-02-13T03:05:35
57,100937,2021,1,1,2,20100.0,18850.0,1250.0,786.0,18850.0,1250.0,20100.0,,,2026-02-13T03:05:35
58,100937,2021,1,1,3,20100.0,18850.0,1250.0,786.0,18850.0,1250.0,20100.0,,,2026-02-13T03:05:35
59,100937,2021,1,1,4,20100.0,18850.0,1250.0,786.0,18850.0,1250.0,20100.0,,,2026-02-13T03:05:35
60,101028,2021,1,1,2,3936.0,3192.0,744.0,133.0,3192.0,744.0,3936.0,,,2026-02-13T03:05:35
61,101028,2021,1,1,3,3936.0,3192.0,744.0,133.0,3192.0,744.0,3936.0,,,2026-02-13T03:05:35
62,101028,2021,1,1,4,7128.0,6384.0,744.0,266.0,6384.0,744.0,7128.0,,,2026-02-13T03:05:35
63,101116,2021,1,1,2,18000.0,16920.0,1080.0,470.0,16920.0,94.0,17014.0,,,2026-02-13T03:05:35
64,101116,2021,1,1,3,18000.0,16920.0,1080.0,470.0,16920.0,94.0,17014.0,,,2026-02-13T03:05:35
65,101116,2021,1,1,4,18000.0,16920.0,1080.0,470.0,16920.0,94.0,17014.0,,,2026-02-13T03:05:35
66,101116,2021,1,2,2,16320.0,15600.0,720.0,650.0,,,,,,2026-02-13T03:05:35
67,101116,2021,1,2,3,16320.0,15600.0,720.0,650.0,,,,,,2026-02-13T03:05:35
68,101116,2021,1,2,4,16320.0,15600.0,720.0,650.0,,,,,,2026-02-13T03:05:35
69,101143,2021,1,1,2,4860.0,3690.0,1170.0,123.0,3690.0,1170.0,4860.0,,,2026-02-13T03:05:35
70,101143,2021,1,1,3,4860.0,3690.0,1170.0,123.0,3690.0,1170.0,4860.0,,,2026-02-13T03:05:35
71,101143,2021,1,1,4,8550.0,7380.0,1170.0,246.0,7380.0,1170.0,8550.0,,,2026-02-13T03:05:35
